latitude,longitude,instrument,seasonal_longitude,seasonal_bin,sol_range_start,sol_range_end,median_sol,reliability_score,power_reliability,routine_ratio,complexity_score,complexity_std,sample_count,reliability_std,mission_age_factor,systems_involved,operational_tempo,science_activity_rate,maintenance_activity_rate,recovery_activity_rate,movement_required_rate,power_intensive_rate,temperature_celsius,wind_speed_variability,weather_data_quality,seasonal_intensity_factor,orbital_thermal_factor,diurnal_thermal_factor,combined_thermal_stress
73.048,-157.5,CAMERA,202.5,13,785,887,810,0.9068,0.8433,0.8424,0.3067,0.1015,20,0.0295,1.62,2.3,0.84,0.5924,0.2987,0.0237,0.4156,0.3591,-50.2,0.16,16.0,0.79,0.53,1.21,2.4
67.51,-142.5,CAMERA,217.5,14,844,944,870,0.9304,0.9127,0.7076,0.594,0.074,17,0.1174,1.75,1.1,1.98,0.7007,0.1686,0.1913,0.3593,0.4718,-999.0,0.7,16.0,1.1,0.57,0.69,0.79
73.232,-127.5,CAMERA,232.5,15,904,1001,930,0.8969,0.8809,0.6614,0.5547,0.0686,23,0.0794,1.88,1.1,1.69,0.5457,0.1886,0.1759,0.484,0.238,-83.3,1.12,17.0,0.76,1.01,0.92,0.59
70.467,-112.5,CAMERA,247.5,16,969,1068,990,0.7576,0.7776,0.7771,0.2368,0.0862,14,0.0401,2.0,1.6,0.81,0.575,0.3648,0.0104,0.3764,0.324,-62.6,0.68,16.0,1.18,1.09,1.28,-999.0
74.995,-97.5,CAMERA,262.5,17,1024,1126,1050,0.7624,0.7377,0.6661,0.6575,0.1042,12,0.0861,2.12,1.2,1.56,0.6837,0.1502,0.1561,0.5335,0.5809,-999.0,0.47,14.0,0.67,0.89,1.21,-999.0
74.329,-82.5,CAMERA,277.5,18,1088,1181,1110,0.7622,0.7669,0.8092,0.6286,0.0962,5,0.0322,2.25,1.4,1.99,0.5378,0.1093,0.0104,0.3569,0.2854,-79.5,0.27,16.0,1.27,0.58,0.96,1.47
65.161,-67.5,CAMERA,292.5,19,1144,1242,1170,0.9104,0.9038,0.6034,0.6222,0.147,8,0.0759,2.38,2.5,1.79,0.6137,0.2622,0.0859,0.4235,0.3929,-999.0,1.45,16.0,1.72,0.35,1.36,1.85
70.015,-52.5,CAMERA,307.5,20,1208,1306,1230,0.8414,0.8246,0.6939,0.7612,0.1351,23,0.0828,2.5,1.7,1.03,0.4748,0.1059,0.0781,0.3766,0.3647,-69.9,1.33,14.0,0.6,0.49,0.4,1.86
74.82,-37.5,CAMERA,322.5,21,1264,1365,1290,0.7348,0.6973,0.82,0.2697,0.1281,24,0.0478,2.62,1.8,1.4,0.7921,0.1203,0.1037,0.3717,0.5883,-999.0,0.67,16.0,1.33,0.57,0.72,1.03
67.875,-22.5,CAMERA,337.5,22,1326,1425,1350,0.7708,0.767,0.6432,0.5572,0.0672,19,0.1151,2.75,1.9,0.93,0.6396,0.2871,0.1297,0.407,0.206,-76.2,1.05,16.0,1.18,0.44,0.63,2.23
70.876,-7.5,CAMERA,352.5,23,1382,1488,1410,0.7244,0.7327,0.6151,0.5765,0.0886,11,0.0453,2.88,2.4,2.14,0.5596,0.3519,0.0377,0.569,0.5908,-999.0,0.11,12.0,0.35,0.92,1.4,1.02
-68.623,7.5,WTS,7.5,0,2,103,30,0.8952,0.9367,0.6612,0.5924,0.1318,19,0.0939,0.0,1.0,1.15,0.4858,0.1812,0.0495,0.325,0.3836,-63.8,1.04,6.0,1.72,1.02,1.27,2.37
-67.571,22.5,WTS,22.5,1,68,167,90,0.742,0.7048,0.6205,0.4227,0.1421,10,0.1,0.12,2.0,2.01,0.7661,0.3579,0.007,0.6149,0.3645,-62.7,1.27,12.0,1.06,0.26,1.24,1.5
-69.098,37.5,WTS,37.5,2,127,225,150,0.6513,0.6641,0.6085,0.326,0.0781,7,0.061,0.25,3.0,1.16,0.4638,0.1481,0.0141,0.3743,0.4657,-56.5,1.06,7.0,0.66,0.44,0.6,1.57
-67.107,52.5,WTS,52.5,3,187,286,210,0.8307,0.8167,0.8858,0.396,0.0854,14,0.0471,0.38,1.7,1.25,0.7614,0.1233,0.1658,0.4396,0.4086,-54.0,0.58,12.0,0.86,0.11,0.66,1.32
-70.704,67.5,WTS,67.5,4,247,347,270,0.715,0.6427,0.8589,0.5191,0.1289,5,0.0545,0.5,2.2,1.83,0.7527,0.1364,0.1269,0.5329,0.2474,-999.0,0.54,8.0,0.59,0.39,0.7,1.64
-66.285,82.5,WTS,82.5,5,303,409,330,0.9526,0.9375,0.7236,0.6522,0.0704,6,0.0612,0.62,3.6,1.68,0.613,0.1346,0.1211,0.3469,0.3349,-999.0,1.07,8.0,0.83,1.09,0.55,1.34
-68.716,97.5,WTS,97.5,6,369,465,390,0.98,0.9466,0.817,0.5214,0.1336,20,0.0403,0.75,1.4,1.2,0.6126,0.2532,0.1641,0.4618,0.3937,-999.0,0.67,15.0,0.22,0.41,0.55,-999.0
-66.521,112.5,WTS,112.5,7,424,528,450,0.712,0.6896,0.8945,0.4703,0.1013,19,0.0432,0.88,3.8,0.86,0.5786,0.121,0.1458,0.5434,0.4827,-72.1,0.16,10.0,1.69,0.52,1.3,1.25
-70.739,127.5,WTS,127.5,8,485,586,510,0.7765,0.7591,0.8032,0.6551,0.0515,23,0.082,1.0,3.2,1.04,0.478,0.3671,0.15,0.6633,0.5035,-62.1,1.34,14.0,1.21,0.27,0.87,1.04
-72.851,142.5,WTS,142.5,9,541,649,570,0.6677,0.6442,0.8088,0.4297,0.1322,22,0.1158,1.12,2.3,1.57,0.6133,0.291,0.1496,0.39,0.4115,-68.8,0.49,15.0,1.52,0.17,1.23,1.42
-67.522,157.5,WTS,157.5,10,601,707,630,0.861,0.8819,0.6093,0.3557,0.0534,7,0.1024,1.25,2.9,2.0,0.7135,0.2287,0.0402,0.5057,0.4945,-61.7,0.23,16.0,1.5,0.88,1.46,2.31
-74.943,172.5,WTS,172.5,11,663,760,690,0.8622,0.8935,0.8883,0.735,0.1349,15,0.0214,1.38,1.2,1.24,0.4063,0.1051,0.1833,0.5825,0.3236,-999.0,0.82,5.0,1.7,0.56,0.78,0.64
-73.616,-172.5,WTS,187.5,12,729,823,750,0.9084,0.9435,0.7708,0.721,0.0879,6,0.0542,1.5,2.6,1.1,0.7983,0.3943,0.1299,0.6218,0.486,-83.1,0.74,15.0,1.28,0.51,1.43,-999.0
-68.514,-157.5,WTS,202.5,13,786,882,810,0.8741,0.9065,0.8243,0.6862,0.0914,12,0.0905,1.62,2.4,1.73,0.7349,0.1509,0.0038,0.6116,0.4439,-55.7,1.22,19.0,1.06,0.64,0.78,-999.0
-69.168,-142.5,WTS,217.5,14,848,947,870,0.8889,0.8828,0.7782,0.6216,0.0567,21,0.0807,1.75,3.6,2.04,0.6636,0.1634,0.1726,0.6544,0.2787,-75.0,1.22,20.0,0.25,1.09,1.05,1.43
-74.33,-127.5,WTS,232.5,15,907,1000,930,0.7751,0.7606,0.8008,0.7351,0.0806,18,0.0586,1.88,1.2,1.1,0.4917,0.2407,0.0537,0.3404,0.267,-999.0,1.46,16.0,1.75,0.58,0.63,1.15
-72.435,-112.5,WTS,247.5,16,961,1063,990,0.7474,0.7369,0.8022,0.2375,0.0711,8,0.0347,2.0,2.0,2.01,0.462,0.1248,0.0969,0.421,0.4254,-80.2,0.91,13.0,0.43,0.79,0.63,0.66
-74.43,-97.5,WTS,262.5,17,1028,1121,1050,0.9185,0.902,0.7375,0.635,0.1074,23,0.1192,2.12,3.0,1.08,0.418,0.1379,0.1125,0.6061,0.5762,-999.0,0.83,12.0,1.25,0.72,1.12,0.73
-70.839,-82.5,WTS,277.5,18,1088,1180,1110,0.7558,0.7345,0.8454,0.5061,0.1236,18,0.0845,2.25,1.7,1.57,0.5489,0.2985,0.0282,0.5284,0.2741,-999.0,0.41,8.0,1.52,0.41,1.41,1.64
-71.326,-67.5,WTS,292.5,19,1141,1244,1170,0.8133,0.7979,0.6525,0.6037,0.0721,24,0.045,2.38,1.8,0.8,0.7483,0.3378,0.1255,0.6001,0.2608,-72.7,0.23,12.0,1.67,0.14,0.65,-999.0
-70.337,-52.5,WTS,307.5,20,1209,1306,1230,0.8313,0.858,0.7462,0.458,0.1097,11,0.1135,2.5,2.1,1.79,0.5903,0.3023,0.1526,0.3182,0.4586,-999.0,1.04,12.0,1.44,0.24,1.05,-999.0
-72.845,-37.5,WTS,322.5,21,1261,1368,1290,0.7125,0.7352,0.7825,0.3686,0.0673,5,0.0811,2.62,1.6,0.88,0.6274,0.2955,0.0422,0.5226,0.5426,-52.5,0.61,10.0,1.4,0.57,0.41,-999.0
-72.062,-22.5,WTS,337.5,22,1328,1422,1350,0.8088,0.7718,0.7911,0.5584,0.1153,10,0.0496,2.75,2.9,1.64,0.6025,0.2051,0.1826,0.4359,0.3822,-66.0,0.59,12.0,1.47,0.41,0.47,2.2
-65.152,-7.5,WTS,352.5,23,1388,1481,1410,0.8225,0.8294,0.8786,0.2371,0.0592,20,0.091,2.88,1.8,1.28,0.5795,0.374,0.0379,0.302,0.224,-62.3,0.48,8.0,0.67,0.23,1.43,1.42
