latitude,longitude,instrument,seasonal_longitude,seasonal_bin,sol_range_start,sol_range_end,median_sol,reliability_score,power_reliability,routine_ratio,complexity_score,complexity_std,sample_count,reliability_std,mission_age_factor,systems_involved,operational_tempo,science_activity_rate,maintenance_activity_rate,recovery_activity_rate,movement_required_rate,power_intensive_rate,success_rate,temperature_celsius,temperature_range_celsius,wind_speed_avg_ms,wind_speed_max_ms,wind_speed_variability,weather_data_quality,seasonal_intensity_factor,orbital_thermal_factor,diurnal_thermal_factor,combined_thermal_stress
-15.909,-67.5,SEIS,52.5,3,79,1756,992,0.6484,0.6411,0.0,0.6383,0.3212,7,0.1756,1.12,3.4,1.27,0.5714,0.1429,0.0,0.1429,0.2857,0.6484,-61.4,15.5,8.3,25.8,1.97,14,0.98,1.09,1.23,1.86
-14.944,-52.5,SEIS,67.5,4,1202,1618,1396,0.6169,0.6586,0.25,0.4848,0.2238,4,0.2596,1.4,1.8,1.07,0.5,0.0,0.25,1.0,0.25,0.6169,-57.6,16.5,7.0,25.0,2.52,8,1.4,1.07,0.73,1.77
-21.393,-37.5,SEIS,82.5,5,500,1858,1352,0.7508,0.8043,0.5,0.5245,0.3249,4,0.1483,1.27,2.8,0.76,0.0,0.0,0.0,0.25,0.25,0.7508,-45.3,17.1,16.2,21.2,2.84,8,1.27,0.91,0.97,1.7
-18.666,-22.5,SEIS,97.5,6,82,1913,849,0.6498,0.6894,0.25,0.501,0.2644,8,0.2041,0.86,3.6,1.09,0.25,0.125,0.125,0.5,0.375,0.6498,-46.1,18.8,12.9,17.8,3.56,16,1.0,1.21,1.3,1.73
-19.91,-7.5,SEIS,112.5,7,168,1544,1348,0.6323,0.6043,0.2857,0.5291,0.324,7,0.1977,1.06,3.3,0.9,0.1429,0.2857,0.0,0.5714,0.5714,0.6323,-57.4,15.7,12.0,27.1,2.43,14,0.87,1.17,1.03,1.75
-11.914,7.5,SEIS,127.5,8,10,1769,1572,0.6566,0.6218,0.0,0.5476,0.3056,5,0.2163,1.11,3.6,1.66,0.4,0.4,0.0,0.4,0.4,0.6566,-41.3,20.0,17.1,22.5,2.99,10,1.21,1.03,1.23,1.6
-12.057,22.5,SEIS,142.5,9,166,1993,1231,0.6556,0.6407,0.1429,0.4891,0.2959,7,0.1112,1.17,3.3,1.32,0.4286,0.0,0.0,0.7143,0.5714,0.6556,-44.9,15.2,7.9,29.4,2.04,14,1.09,0.9,1.48,1.33
-18.857,37.5,SEIS,157.5,10,230,1820,1281,0.5713,0.5739,0.2727,0.5758,0.2681,11,0.1905,1.15,2.5,1.37,0.3636,0.0909,0.0,0.5455,0.3636,0.5713,-57.7,13.6,7.7,21.8,3.16,22,1.16,1.07,1.0,1.86
-18.148,52.5,SEIS,172.5,11,313,1081,548,0.6231,0.6138,0.6,0.6113,0.3624,5,0.2742,0.62,3.2,1.58,0.0,0.2,0.2,0.2,0.8,0.6231,-55.9,20.5,13.3,24.5,3.21,10,1.1,0.9,0.92,1.68
-11.037,67.5,SEIS,187.5,12,380,1836,523,0.5898,0.6334,0.0,0.5931,0.1707,5,0.1842,0.75,1.8,1.36,0.8,0.0,0.0,0.6,0.0,0.5898,-55.0,13.1,10.4,16.6,3.61,10,1.37,0.98,1.31,2.13
-17.603,82.5,SEIS,202.5,13,32,1842,1285,0.7113,0.7552,0.3333,0.5275,0.2355,9,0.2397,1.08,3.0,1.43,0.5556,0.0,0.0,0.6667,0.4444,0.7113,-48.3,13.0,12.8,17.0,2.63,18,1.17,0.94,1.2,1.29
-10.995,97.5,SEIS,217.5,14,344,1717,1152,0.6055,0.6305,0.4444,0.5313,0.2651,9,0.1635,1.01,2.9,1.57,0.3333,0.0,0.0,0.3333,0.3333,0.6055,-51.1,17.4,11.9,20.7,2.54,18,0.74,1.04,1.04,1.76
-16.617,112.5,SEIS,232.5,15,18,1379,608,0.6338,0.594,0.2,0.532,0.2268,10,0.1796,0.62,3.5,1.26,0.6,0.1,0.0,0.4,0.4,0.6338,-48.0,13.4,12.1,26.4,2.31,20,1.1,0.84,0.89,1.36
-11.628,127.5,SEIS,247.5,16,36,1867,437,0.8635,0.8342,0.5714,0.3583,0.1664,7,0.1628,0.87,3.1,1.12,0.2857,0.0,0.1429,0.4286,0.5714,0.8635,-59.6,17.2,8.3,19.9,3.24,14,0.9,1.14,1.19,1.88
-13.631,142.5,SEIS,262.5,17,1117,1804,1295,0.7235,0.7268,0.0,0.472,0.057,3,0.1295,1.41,3.3,1.2,0.6667,0.0,0.0,0.3333,0.6667,0.7235,-37.3,13.9,11.1,19.4,2.56,6,1.06,1.09,1.46,1.04
-12.442,157.5,SEIS,277.5,18,378,820,599,0.6295,0.6711,0.0,0.3427,0.1433,2,0.3229,0.6,1.0,1.01,1.0,0.0,0.0,0.0,1.0,0.6295,-48.2,12.8,7.0,15.5,1.99,4,1.44,1.05,1.33,1.03
-16.153,172.5,SEIS,292.5,19,151,1909,1368,0.6769,0.6471,0.1667,0.6017,0.2856,6,0.2936,1.24,4.2,1.28,0.3333,0.0,0.0,0.5,0.3333,0.6769,-49.9,17.3,10.9,26.5,2.96,12,0.56,0.88,1.15,2.12
-13.794,-172.5,SEIS,307.5,20,12,1739,1170,0.6754,0.6807,0.0,0.4847,0.343,5,0.1762,1.0,3.0,1.51,0.4,0.2,0.0,0.4,0.2,0.6754,-47.3,12.2,8.2,22.3,1.97,10,1.02,0.97,1.44,1.96
-20.893,-157.5,SEIS,322.5,21,202,1785,534,0.5988,0.5445,0.5714,0.5194,0.261,7,0.156,0.91,2.9,1.16,0.2857,0.1429,0.0,0.5714,0.7143,0.5988,-58.5,15.8,9.3,17.5,3.78,14,1.03,1.05,1.2,1.96
-14.577,-142.5,SEIS,337.5,22,734,1632,1148,0.5415,0.5955,0.2,0.3618,0.1591,5,0.1598,1.13,2.0,1.21,0.2,0.4,0.0,0.8,0.6,0.5415,-51.7,16.0,7.6,12.7,1.98,10,1.39,1.15,1.04,1.55
-16.263,-127.5,SEIS,352.5,23,442,1897,893,0.8913,0.8636,0.125,0.7305,0.2404,8,0.0889,1.02,3.0,1.46,0.5,0.25,0.125,0.75,0.25,0.8913,-47.4,17.8,10.6,23.0,2.69,16,1.06,0.88,1.3,1.6
-71.864,-22.5,WTS,7.5,0,296,983,951,0.6412,0.6917,0.3333,0.4423,0.3275,3,0.2057,0.74,2.3,1.21,0.3333,0.0,0.0,0.6667,0.6667,0.6412,-57.0,19.7,12.3,18.6,3.34,6,1.15,1.09,1.25,1.55
-73.963,7.5,WTS,37.5,2,219,1462,235,0.4719,0.4672,0.75,0.7237,0.1492,4,0.1574,0.54,3.0,1.43,0.0,0.0,0.25,0.5,0.25,0.4719,-52.0,19.6,15.4,22.3,2.76,8,0.72,1.13,1.23,1.46
-66.762,67.5,WTS,97.5,6,335,1840,1410,0.6047,0.5727,0.6,0.5841,0.1976,5,0.226,1.09,4.0,1.12,0.2,0.0,0.0,0.4,0.2,0.6047,-56.2,18.1,13.1,22.2,2.48,10,0.88,1.22,0.8,2.0
-73.002,82.5,WTS,112.5,7,225,1566,831,0.6843,0.6169,0.5,0.2781,0.1762,4,0.166,0.86,3.5,1.52,0.5,0.0,0.0,1.0,0.5,0.6843,-41.2,14.2,6.8,23.6,2.98,8,0.83,0.89,0.73,2.11
-69.842,97.5,WTS,127.5,8,57,1798,1039,0.5643,0.5741,0.1429,0.3849,0.1881,7,0.1559,0.9,3.0,1.37,0.4286,0.1429,0.0,0.1429,0.2857,0.5643,-59.0,20.5,8.1,15.2,3.32,14,0.69,1.0,1.38,1.96
-65.339,112.5,WTS,142.5,9,510,1301,1055,0.6286,0.6168,0.3333,0.222,0.1664,3,0.2506,0.96,2.7,1.3,0.3333,0.0,0.0,0.3333,0.3333,0.6286,-45.1,12.8,13.7,14.9,2.88,6,0.53,1.01,0.76,2.12
-66.191,127.5,WTS,157.5,10,42,1953,576,0.6418,0.6377,0.2857,0.5314,0.2006,7,0.1797,0.92,2.0,1.28,0.5714,0.1429,0.0,0.1429,0.8571,0.6418,-58.4,18.3,9.6,20.0,3.28,14,0.92,1.14,0.85,1.47
-67.381,142.5,WTS,172.5,11,77,1984,1505,0.7212,0.7161,0.2,0.6646,0.1926,5,0.1549,1.09,3.2,1.23,0.2,0.0,0.0,0.2,0.0,0.7212,-49.1,17.5,8.2,19.2,2.79,10,1.39,0.8,1.28,1.18
-67.72,157.5,WTS,187.5,12,151,1264,655,0.5943,0.5757,0.25,0.4513,0.3197,4,0.2559,0.68,1.8,1.07,0.5,0.0,0.0,0.75,0.5,0.5943,-55.3,15.6,12.2,28.4,3.0,8,0.59,0.85,0.93,1.25
-68.496,172.5,WTS,202.5,13,1052,1628,1340,0.5427,0.5868,0.0,0.84,0.013,2,0.3177,1.34,5.0,1.82,0.5,0.0,0.5,0.5,0.5,0.5427,-37.7,10.4,9.4,30.8,1.7,4,0.82,0.96,0.96,1.47
-73.206,-172.5,WTS,217.5,14,104,1824,768,0.6247,0.6219,0.4,0.5255,0.2663,5,0.2751,0.78,3.4,0.7,0.4,0.0,0.0,0.4,0.4,0.6247,-63.1,24.2,8.2,26.3,3.85,10,1.35,1.16,1.12,1.81
-70.006,-142.5,WTS,247.5,16,210,1500,1324,0.5705,0.5709,0.5,0.3956,0.3238,4,0.1323,1.09,3.8,1.3,0.25,0.25,0.0,0.25,0.25,0.5705,-50.3,18.4,9.6,23.9,3.66,8,1.35,0.88,0.96,1.7
-66.807,-127.5,WTS,262.5,17,20,1994,1358,0.9131,0.8725,0.0,0.5286,0.2807,5,0.0414,1.1,3.4,0.84,0.4,0.2,0.0,0.4,0.6,0.9131,-56.9,11.0,12.2,19.4,3.29,10,1.39,1.14,1.01,1.92
-74.712,-112.5,WTS,277.5,18,726,1651,1101,0.6472,0.5845,0.0,0.3223,0.1357,5,0.1576,1.19,3.2,1.09,0.6,0.0,0.4,0.6,0.4,0.6472,-49.8,16.3,10.9,21.0,2.73,10,0.56,1.13,0.78,1.75
-70.898,-97.5,WTS,292.5,19,308,1963,1202,0.6736,0.6957,0.3333,0.7949,0.1442,3,0.2167,1.16,2.3,0.99,0.6667,0.0,0.0,0.3333,0.3333,0.6736,-50.8,21.5,12.7,21.0,3.15,6,1.41,0.71,0.77,1.64
-67.452,-82.5,WTS,307.5,20,49,1935,1171,0.6774,0.6647,0.375,0.6445,0.2527,8,0.2366,1.18,3.1,1.18,0.375,0.0,0.0,0.75,0.5,0.6774,-46.8,17.7,9.5,20.5,2.43,16,1.16,0.97,1.07,1.96
-73.649,-67.5,WTS,322.5,21,18,612,288,0.6747,0.7354,0.0,0.2216,0.0906,3,0.1902,0.31,2.7,1.09,0.3333,0.3333,0.0,0.6667,0.0,0.6747,-60.3,20.8,5.1,19.8,3.44,6,0.81,0.73,0.95,2.13
-72.413,-52.5,WTS,337.5,22,25,1948,1327,0.593,0.6396,0.1429,0.5786,0.2799,7,0.2451,1.05,2.6,1.17,0.2857,0.1429,0.1429,0.4286,0.4286,0.593,-55.8,17.3,13.1,27.6,3.42,14,1.06,0.91,1.29,2.1
-71.612,-37.5,WTS,352.5,23,884,1908,1616,0.6171,0.5845,0.5,0.6833,0.3861,4,0.2214,1.51,3.0,0.85,0.25,0.0,0.0,0.75,0.5,0.6171,-60.6,18.1,13.4,24.6,2.09,8,0.97,1.07,1.13,1.65
